epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4925.4,0.82717,0.45793,0.92022,0.91347,0.83407,0.90293,0.61201,1.01187,0.50066,0.98559,0.005842,0.005842,0.005842
44,5037.91,0.82747,0.45725,0.91979,0.90128,0.84786,0.90272,0.6079,1.01506,0.49386,0.99295,0.005743,0.005743,0.005743
45,5147.66,0.82115,0.45237,0.91822,0.90624,0.84747,0.90546,0.60486,1.02013,0.49331,0.99441,0.005644,0.005644,0.005644
46,5258.09,0.81413,0.446,0.91646,0.9136,0.83181,0.90306,0.60545,1.02582,0.50289,0.99453,0.005545,0.005545,0.005545
47,5366.81,0.80578,0.44381,0.91418,0.917,0.83206,0.90255,0.6076,1.02664,0.50958,0.9972,0.005446,0.005446,0.005446
48,5476.63,0.80783,0.44297,0.91292,0.92208,0.83385,0.90396,0.61011,1.01898,0.50297,0.99163,0.005347,0.005347,0.005347
49,5586.05,0.80283,0.44133,0.91291,0.91514,0.83251,0.8962,0.60704,1.02142,0.50407,0.99911,0.005248,0.005248,0.005248
50,5695.12,0.79804,0.43809,0.912,0.92018,0.82701,0.8972,0.60636,1.02101,0.50005,0.99828,0.005149,0.005149,0.005149
51,5803.14,0.78887,0.43265,0.91058,0.92716,0.82684,0.90231,0.60429,1.02633,0.50533,0.99868,0.00505,0.00505,0.00505
52,5910.48,0.79012,0.43363,0.90941,0.91675,0.83875,0.89983,0.60806,1.01587,0.50299,0.99237,0.004951,0.004951,0.004951
53,6018.24,0.78352,0.42823,0.90607,0.90835,0.84226,0.9027,0.60841,1.01361,0.50071,0.99462,0.004852,0.004852,0.004852
54,6125.43,0.78169,0.42747,0.90683,0.92945,0.82675,0.90169,0.60782,1.01417,0.49885,0.99477,0.004753,0.004753,0.004753
55,6235.84,0.77263,0.42321,0.90457,0.90227,0.84057,0.89819,0.60861,1.01178,0.49935,0.99394,0.004654,0.004654,0.004654
56,6344.35,0.77363,0.42522,0.90428,0.90781,0.83701,0.90069,0.6083,1.01671,0.50086,0.99805,0.004555,0.004555,0.004555
57,6453.6,0.76661,0.41928,0.90227,0.91561,0.83653,0.90036,0.60826,1.01355,0.50082,1.0009,0.004456,0.004456,0.004456
58,6563.14,0.76659,0.41871,0.90239,0.914,0.84089,0.90005,0.60978,1.0167,0.49857,1.00599,0.004357,0.004357,0.004357
59,6673.79,0.76207,0.41721,0.89991,0.90166,0.84653,0.90057,0.61046,1.01165,0.50006,0.99777,0.004258,0.004258,0.004258
60,6783.28,0.7613,0.41558,0.89958,0.91274,0.84082,0.90081,0.60951,1.01339,0.49701,1.00138,0.004159,0.004159,0.004159
61,6891.37,0.75304,0.41094,0.89697,0.91265,0.84232,0.90233,0.60886,1.01153,0.49905,0.99852,0.00406,0.00406,0.00406
62,7000.72,0.74884,0.41025,0.89834,0.91627,0.83778,0.90124,0.60815,1.01101,0.49781,0.99676,0.003961,0.003961,0.003961
63,7112.14,0.74955,0.40946,0.89811,0.92797,0.82977,0.90367,0.60856,1.01168,0.49331,0.9971,0.003862,0.003862,0.003862
64,7222.84,0.74293,0.40453,0.89538,0.92463,0.83619,0.90404,0.6087,1.01302,0.49562,0.99912,0.003763,0.003763,0.003763
65,7335.94,0.74188,0.40402,0.89466,0.92033,0.83998,0.90364,0.60828,1.01746,0.496,1.00135,0.003664,0.003664,0.003664
66,7448.22,0.73379,0.40071,0.89391,0.914,0.84843,0.90593,0.61005,1.01778,0.49716,1.00108,0.003565,0.003565,0.003565
67,7560.28,0.73086,0.39848,0.89179,0.91338,0.84771,0.9055,0.6104,1.01905,0.49747,1.0018,0.003466,0.003466,0.003466
68,7671.74,0.72769,0.3979,0.89045,0.91685,0.83835,0.90614,0.61034,1.01775,0.4958,1.00276,0.003367,0.003367,0.003367
69,7781.56,0.72223,0.39384,0.89018,0.91832,0.83693,0.9059,0.61185,1.018,0.49592,1.00243,0.003268,0.003268,0.003268
70,7893.12,0.71937,0.3915,0.88928,0.92556,0.83248,0.90601,0.61125,1.01972,0.49766,1.0023,0.003169,0.003169,0.003169
71,8003.07,0.71528,0.38842,0.88713,0.92222,0.83555,0.90473,0.61065,1.02277,0.4986,1.00436,0.00307,0.00307,0.00307
72,8114.5,0.70977,0.38716,0.88632,0.91871,0.83849,0.9044,0.61068,1.02202,0.49873,1.00319,0.002971,0.002971,0.002971
73,8224.32,0.71157,0.38772,0.8881,0.92071,0.83866,0.90412,0.6107,1.02153,0.49867,1.00178,0.002872,0.002872,0.002872
74,8335.2,0.70631,0.3837,0.88537,0.92717,0.83051,0.90419,0.6111,1.02156,0.49969,1.00159,0.002773,0.002773,0.002773
75,8445.54,0.70014,0.38175,0.88553,0.92984,0.82698,0.90417,0.61142,1.02069,0.50003,1.00103,0.002674,0.002674,0.002674
76,8557.55,0.69929,0.3827,0.88388,0.91977,0.83442,0.90392,0.61153,1.02044,0.49965,1.0009,0.002575,0.002575,0.002575
77,8669.9,0.69705,0.38037,0.8843,0.91844,0.83541,0.90415,0.61212,1.019,0.49911,1.00035,0.002476,0.002476,0.002476
78,8780.58,0.69288,0.37662,0.8821,0.91823,0.83728,0.90527,0.61118,1.01951,0.4968,1.00062,0.002377,0.002377,0.002377
79,8892.17,0.68653,0.37519,0.88146,0.91816,0.83894,0.90539,0.61165,1.0186,0.49682,1.00014,0.002278,0.002278,0.002278
80,9003.37,0.68629,0.37387,0.88078,0.91742,0.83703,0.90557,0.61111,1.01772,0.49608,0.99896,0.002179,0.002179,0.002179
81,9116.55,0.67649,0.36994,0.87807,0.91887,0.83952,0.90682,0.6112,1.01674,0.49566,0.99778,0.00208,0.00208,0.00208
82,9228.55,0.68022,0.36913,0.87769,0.91728,0.83871,0.90605,0.61202,1.01636,0.49434,0.99751,0.001981,0.001981,0.001981
83,9339.64,0.67473,0.36745,0.87783,0.9156,0.84044,0.90643,0.61223,1.01629,0.49474,0.99755,0.001882,0.001882,0.001882
84,9451.73,0.66581,0.36278,0.87632,0.92034,0.84125,0.90738,0.61319,1.01646,0.49331,0.99821,0.001783,0.001783,0.001783
85,9562.62,0.66852,0.3647,0.87618,0.91852,0.84149,0.90511,0.6138,1.01685,0.49266,0.99894,0.001684,0.001684,0.001684
86,9674.5,0.66504,0.36275,0.87544,0.91693,0.84174,0.90542,0.6131,1.01771,0.49342,0.99998,0.001585,0.001585,0.001585
87,9785.24,0.65872,0.35858,0.87421,0.91678,0.84126,0.90591,0.61399,1.01819,0.49394,1.00032,0.001486,0.001486,0.001486
88,9897.84,0.65834,0.35772,0.8732,0.91984,0.84017,0.90708,0.61371,1.01883,0.49393,1.00116,0.001387,0.001387,0.001387
89,10010.3,0.65316,0.35627,0.87378,0.91883,0.83902,0.90619,0.61446,1.01912,0.49354,1.00165,0.001288,0.001288,0.001288
90,10123.5,0.65158,0.35484,0.87207,0.92054,0.83884,0.90623,0.61411,1.0193,0.49312,1.00115,0.001189,0.001189,0.001189
91,10235.3,0.56939,0.29591,0.81788,0.92064,0.83872,0.90627,0.61488,1.01943,0.49292,1.00246,0.00109,0.00109,0.00109
92,10343.7,0.55478,0.28833,0.81558,0.92094,0.83558,0.90637,0.61542,1.01915,0.493,1.00264,0.000991,0.000991,0.000991
93,10453.7,0.54284,0.28322,0.81212,0.91935,0.83781,0.90611,0.61476,1.01868,0.4932,1.00233,0.000892,0.000892,0.000892
94,10562.6,0.53798,0.28049,0.81274,0.91692,0.83466,0.90498,0.61542,1.01768,0.49318,1.00152,0.000793,0.000793,0.000793
95,10671.4,0.53298,0.27859,0.81182,0.91785,0.83442,0.90494,0.61488,1.01712,0.49331,1.00142,0.000694,0.000694,0.000694
96,10780.4,0.52572,0.27521,0.80944,0.9175,0.83447,0.9048,0.61435,1.01667,0.49351,1.00109,0.000595,0.000595,0.000595
97,10888.9,0.5211,0.27316,0.81121,0.9163,0.83474,0.90436,0.6132,1.0168,0.4938,1.00127,0.000496,0.000496,0.000496
98,10998.6,0.51757,0.27127,0.80825,0.91813,0.83447,0.90474,0.61417,1.01657,0.49434,1.00129,0.000397,0.000397,0.000397
99,11107.8,0.51248,0.26891,0.80699,0.92014,0.83393,0.90486,0.61427,1.01729,0.49541,1.00145,0.000298,0.000298,0.000298
100,11215.9,0.51018,0.26746,0.80758,0.92141,0.83083,0.90442,0.61457,1.01685,0.4952,1.0017,0.000199,0.000199,0.000199
